product_code,product_name,category_0,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,brand_name,maker,origin,price_1,price_2,price_3,evaluation_score,comment_count
1129199699,[뉴발란스]나이키 뉴발란스 인기 운동화/런닝화 30종,홈,스포츠패션/슈즈,스포츠슈즈,남성슈즈,패션/컨버스화,,,,,,,,,,"49,800",,,240
12484107,[한샘인테리어]한샘 시스템 키친 - 스칸디나비아 시즌2 5.6m,홈,TV쇼핑,가구/인테리어,,,,,,,,한샘인테리어,(주)한샘,한국,"4,849,000","4,508,640","4,308,640",,145
1084412581,[드롱기] 전자동 커피머신 ESAM2600 外 3종 택1 (프리미엄 원두 증정),홈,생활/계절/주방가전,전기주전자/토스터기,전기주전자,기타브랜드,,,,,,,,,"553,320","539,000",,,79
1090063946,골드모아 투자트랜드 순금 BEST 20,홈,보석/쥬얼리/시계,순금,순금,골드바(금괴),,,,,,,,,"85,000","80,750",,,43
1059017223,[넛츠팜]하루하루 건강더함 / 요거트넛츠 / 블랙빈넛츠 25g 100봉(낱봉) [골라담기 택1],홈,신선식품,견과/건/냉동과일,견과,기타,,,,,,넛츠팜,넛츠팜 주식회사,한국,"38,900",,"36,950",98,3214
1127771899,[보브/지컷] 남다른 디테일로 승부! 야상점퍼/FUR外,홈,롯데백화점,여성캐주얼,코트,롱코트,,,,,,,,,"139,000","119,000",,,13
12503889,[양키캔들][아로마향 캔들+워머패키지] 양키캔들(라지자 3개+보티브 5개 set+워머 1개+쇼핑백 2장),홈,TV쇼핑,생활/건강,,,,,,,,양키캔들,YANKEE CANDLE,미국/중국,"144,000","139,000","132,050",,526
1077496721,[닥스(잡화)]블루 베지터블엠보 스터드DD 디테일 토트겸 크로스백 OC2H4FC15BL,홈,패션잡화,닥스,핸드백/가방,여성용,,,,,,닥스(잡화),LF,한국,"247,200","245,960","233,660",,18
1113719898,[폴스부띠끄]클러치증정행사!TV드라마 협찬백! 메이지백/베타니백外,홈,패션잡화,핸드백/가방,크로스백,크로스백,,,,,,,,,"116,100","104,490",,,5
12496085,[조르쥬 레쉬][GEORGES RECH] 조르쥬 레쉬 칼린 4PCS,홈,TV쇼핑,여성의류,,,,,,,,조르쥬 레쉬,우인복장,중국,"139,000","138,000","131,100",,1143
1065831256,[록시땅][TK]록시땅 핸드크림 트리오 세트,홈,롯데백화점,명품화장품,바디/헤어케어,핸드/풋크림,,,,,,록시땅,"Laboratories M&L; (Loccitane, France)",프랑스,"39,000","35,100","33,340",,411
1124576008,[크리스챤 디올(CHRISTIAN DIOR)]디올 어딕트 립 글로우 라일락,홈,롯데백화점,명품화장품,메이크업,립밤/립에센스,,,,,,크리스챤 디올(CHRISTIAN DIOR),퍼퓸 크리스챤 디올,프랑스,"40,000","38,000","36,100",,164
1051996209,[정관장]홍삼정플러스 240g 1병(쇼핑백),홈,건강/다이어트식품,홍삼/인삼,홍삼분류별,홍삼농축액,,,,,,정관장,한국인삼공사,한국,"198,000",,,98,197
1104943536,[호주청정우(구룡)]LA갈비 1.6kg/2.4kg/3.2kg 등,홈,신선식품,축산물,수입육,갈비,,,,,,,,,,"39,900",,,143
1125992179,메트로시티 장갑/머플러 베스트 25종택일,홈,패션잡화,섬유/시즌잡화,장갑,메트로시티,,,,,,,,,,"25,000",,,619
